68034 silly lifecycle etag@1.7.0~preinstall: no script for preinstall, continuing
71021 verbose link bins   false ]
71022 verbose linkMans node-uuid@1.4.7
71023 silly build normalize-path@2.0.1
71024 info linkStuff normalize-path@2.0.1
71025 silly linkStuff normalize-path@2.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71026 verbose linkBins normalize-path@2.0.1
71027 verbose linkMans normalize-path@2.0.1
71028 silly build normalize-range@0.1.2
71029 info linkStuff normalize-range@0.1.2
71030 silly linkStuff normalize-range@0.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71031 verbose linkBins normalize-range@0.1.2
71032 verbose linkMans normalize-range@0.1.2
71033 silly build nth-check@1.0.1
71034 info linkStuff nth-check@1.0.1
71035 silly linkStuff nth-check@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71036 verbose linkBins nth-check@1.0.1
71037 verbose linkMans nth-check@1.0.1
71038 silly build css-select@1.2.0
71039 info linkStuff css-select@1.2.0
71040 silly linkStuff css-select@1.2.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71041 verbose linkBins css-select@1.2.0
71042 verbose linkMans css-select@1.2.0
71043 silly build num2fraction@1.2.2
71044 info linkStuff num2fraction@1.2.2
71045 silly linkStuff num2fraction@1.2.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71046 verbose linkBins num2fraction@1.2.2
71047 verbose linkMans num2fraction@1.2.2
71048 silly build number-is-nan@1.0.0
71049 info linkStuff number-is-nan@1.0.0
71050 silly linkStuff number-is-nan@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71051 verbose linkBins number-is-nan@1.0.0
71052 verbose linkMans number-is-nan@1.0.0
71053 silly build is-fullwidth-code-point@1.0.0
71054 info linkStuff is-fullwidth-code-point@1.0.0
71055 silly linkStuff is-fullwidth-code-point@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71056 verbose linkBins is-fullwidth-code-point@1.0.0
71057 verbose linkMans is-fullwidth-code-point@1.0.0
71058 silly build is-finite@1.0.1
71059 info linkStuff is-finite@1.0.1
71060 silly linkStuff is-finite@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71061 verbose linkBins is-finite@1.0.1
71062 verbose linkMans is-finite@1.0.1
71063 silly build repeating@2.0.1
71064 info linkStuff repeating@2.0.1
71065 silly linkStuff repeating@2.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules\indent-string\node_modules as its parent node_modules
71066 verbose linkBins repeating@2.0.1
71067 verbose linkMans repeating@2.0.1
71068 silly build indent-string@2.1.0
71069 info linkStuff indent-string@2.1.0
71070 silly linkStuff indent-string@2.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71071 verbose linkBins indent-string@2.1.0
71072 verbose linkMans indent-string@2.1.0
71073 silly build code-point-at@1.0.0
71074 info linkStuff code-point-at@1.0.0
71075 silly linkStuff code-point-at@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71076 verbose linkBins code-point-at@1.0.0
71077 verbose linkMans code-point-at@1.0.0
71078 silly build nwmatcher@1.3.8
71079 info linkStuff nwmatcher@1.3.8
71080 silly linkStuff nwmatcher@1.3.8 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71081 verbose linkBins nwmatcher@1.3.8
71082 verbose linkMans nwmatcher@1.3.8
71083 silly build oauth-sign@0.8.2
71084 info linkStuff oauth-sign@0.8.2
71085 silly linkStuff oauth-sign@0.8.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71086 verbose linkBins oauth-sign@0.8.2
71087 verbose linkMans oauth-sign@0.8.2
71088 silly build object-assign@4.1.0
71089 info linkStuff object-assign@4.1.0
71090 silly linkStuff object-assign@4.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71091 verbose linkBins object-assign@4.1.0
71092 verbose linkMans object-assign@4.1.0
71093 silly build loader-utils@0.2.15
71094 info linkStuff loader-utils@0.2.15
71095 silly linkStuff loader-utils@0.2.15 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71096 verbose linkBins loader-utils@0.2.15
71097 verbose linkMans loader-utils@0.2.15
71098 silly build file-loader@0.9.0
71099 info linkStuff file-loader@0.9.0
71100 silly linkStuff file-loader@0.9.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71101 verbose linkBins file-loader@0.9.0
71102 verbose linkMans file-loader@0.9.0
71103 silly build figures@1.7.0
71104 info linkStuff figures@1.7.0
71105 silly linkStuff figures@1.7.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71106 verbose linkBins figures@1.7.0
71107 verbose linkMans figures@1.7.0
71108 silly build esrecurse@4.1.0
71109 info linkStuff esrecurse@4.1.0
71110 silly linkStuff esrecurse@4.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71111 verbose linkBins esrecurse@4.1.0
71112 verbose linkMans esrecurse@4.1.0
71113 silly build escope@3.6.0
71114 info linkStuff escope@3.6.0
71115 silly linkStuff escope@3.6.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71116 verbose linkBins escope@3.6.0
71117 verbose linkMans escope@3.6.0
71118 silly build babel-loader@6.2.4
71119 info linkStuff babel-loader@6.2.4
71120 silly linkStuff babel-loader@6.2.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71121 verbose linkBins babel-loader@6.2.4
71122 verbose linkMans babel-loader@6.2.4
71123 silly build object-is@1.0.1
71124 info linkStuff object-is@1.0.1
71125 silly linkStuff object-is@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71126 verbose linkBins object-is@1.0.1
71127 verbose linkMans object-is@1.0.1
71128 silly build object-keys@1.0.11
71129 info linkStuff object-keys@1.0.11
71130 silly linkStuff object-keys@1.0.11 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71131 verbose linkBins object-keys@1.0.11
71132 verbose linkMans object-keys@1.0.11
71133 silly build define-properties@1.1.2
71134 info linkStuff define-properties@1.1.2
71135 silly linkStuff define-properties@1.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71136 verbose linkBins define-properties@1.1.2
71137 verbose linkMans define-properties@1.1.2
71138 silly build array-includes@3.0.2
71139 info linkStuff array-includes@3.0.2
71140 silly linkStuff array-includes@3.0.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71141 verbose linkBins array-includes@3.0.2
71142 verbose linkMans array-includes@3.0.2
71143 silly build object.assign@4.0.4
71144 info linkStuff object.assign@4.0.4
71145 silly linkStuff object.assign@4.0.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71146 verbose linkBins object.assign@4.0.4
71147 verbose linkMans object.assign@4.0.4
71148 silly build object.entries@1.0.3
71149 info linkStuff object.entries@1.0.3
71150 silly linkStuff object.entries@1.0.3 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71151 verbose linkBins object.entries@1.0.3
71152 verbose linkMans object.entries@1.0.3
71153 silly build object.getownpropertydescriptors@2.0.3
71154 info linkStuff object.getownpropertydescriptors@2.0.3
71155 silly linkStuff object.getownpropertydescriptors@2.0.3 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71156 verbose linkBins object.getownpropertydescriptors@2.0.3
71157 verbose linkMans object.getownpropertydescriptors@2.0.3
71158 silly build object.omit@2.0.0
71159 info linkStuff object.omit@2.0.0
71160 silly linkStuff object.omit@2.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71161 verbose linkBins object.omit@2.0.0
71162 verbose linkMans object.omit@2.0.0
71163 silly build object.values@1.0.3
71164 info linkStuff object.values@1.0.3
71165 silly linkStuff object.values@1.0.3 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71166 verbose linkBins object.values@1.0.3
71167 verbose linkMans object.values@1.0.3
71168 silly build on-finished@2.3.0
71169 info linkStuff on-finished@2.3.0
71170 silly linkStuff on-finished@2.3.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71171 verbose linkBins on-finished@2.3.0
71172 verbose linkMans on-finished@2.3.0
71173 silly build onetime@1.1.0
71174 info linkStuff onetime@1.1.0
71175 silly linkStuff onetime@1.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71176 verbose linkBins onetime@1.1.0
71177 verbose linkMans onetime@1.1.0
71178 silly build minimist@0.0.10
71179 info linkStuff minimist@0.0.10
71180 silly linkStuff minimist@0.0.10 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules\optimist\node_modules as its parent node_modules
71181 verbose linkBins minimist@0.0.10
71182 verbose linkMans minimist@0.0.10
71183 silly build wordwrap@1.0.0
71184 info linkStuff wordwrap@1.0.0
71185 silly linkStuff wordwrap@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules\optionator\node_modules as its parent node_modules
71186 verbose linkBins wordwrap@1.0.0
71187 verbose linkMans wordwrap@1.0.0
71188 silly build os-browserify@0.1.2
71189 info linkStuff os-browserify@0.1.2
71190 silly linkStuff os-browserify@0.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71191 verbose linkBins os-browserify@0.1.2
71192 verbose linkMans os-browserify@0.1.2
71193 silly build os-homedir@1.0.1
71194 info linkStuff os-homedir@1.0.1
71195 silly linkStuff os-homedir@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71196 verbose linkBins os-homedir@1.0.1
71197 verbose linkMans os-homedir@1.0.1
71198 silly build user-home@2.0.0
71199 info linkStuff user-home@2.0.0
71200 silly linkStuff user-home@2.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules\eslint\node_modules as its parent node_modules
71201 verbose linkBins user-home@2.0.0
71202 verbose linkMans user-home@2.0.0
71203 silly build os-tmpdir@1.0.1
71204 info linkStuff os-tmpdir@1.0.1
71205 silly linkStuff os-tmpdir@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71206 verbose linkBins os-tmpdir@1.0.1
71207 verbose linkMans os-tmpdir@1.0.1
71208 silly build output-file-sync@1.1.2
71209 info linkStuff output-file-sync@1.1.2
71210 silly linkStuff output-file-sync@1.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71211 verbose linkBins output-file-sync@1.1.2
71212 verbose linkMans output-file-sync@1.1.2
71213 silly build page-bus@3.0.1
71214 info linkStuff page-bus@3.0.1
71215 silly linkStuff page-bus@3.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71216 verbose linkBins page-bus@3.0.1
71217 verbose linkMans page-bus@3.0.1
71218 silly build @kadira/storybook-channel-pagebus@2.0.2
71219 info linkStuff @kadira/storybook-channel-pagebus@2.0.2
71220 silly linkStuff @kadira/storybook-channel-pagebus@2.0.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71221 verbose linkBins @kadira/storybook-channel-pagebus@2.0.2
71222 verbose linkMans @kadira/storybook-channel-pagebus@2.0.2
71223 silly build pako@0.2.9
71224 info linkStuff pako@0.2.9
71225 silly linkStuff pako@0.2.9 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71226 verbose linkBins pako@0.2.9
71227 verbose linkMans pako@0.2.9
71228 silly build browserify-zlib@0.1.4
71229 info linkStuff browserify-zlib@0.1.4
71230 silly linkStuff browserify-zlib@0.1.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71231 verbose linkBins browserify-zlib@0.1.4
71232 verbose linkMans browserify-zlib@0.1.4
71233 silly build parse-glob@3.0.4
71234 info linkStuff parse-glob@3.0.4
71235 silly linkStuff parse-glob@3.0.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71236 verbose linkBins parse-glob@3.0.4
71237 verbose linkMans parse-glob@3.0.4
71238 silly build parse-json@2.2.0
71239 info linkStuff parse-json@2.2.0
71240 silly linkStuff parse-json@2.2.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71241 verbose linkBins parse-json@2.2.0
71242 verbose linkMans parse-json@2.2.0
71243 silly build parse5@1.5.1
71244 info linkStuff parse5@1.5.1
71245 silly linkStuff parse5@1.5.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71246 verbose linkBins parse5@1.5.1
71247 verbose linkMans parse5@1.5.1
71248 silly build parseurl@1.3.1
71249 info linkStuff parseurl@1.3.1
71250 silly linkStuff parseurl@1.3.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71251 verbose linkBins parseurl@1.3.1
71252 verbose linkMans parseurl@1.3.1
71253 silly build path-browserify@0.0.0
71254 info linkStuff path-browserify@0.0.0
71255 silly linkStuff path-browserify@0.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71256 verbose linkBins path-browserify@0.0.0
71257 verbose linkMans path-browserify@0.0.0
71258 silly build path-exists@1.0.0
71259 info linkStuff path-exists@1.0.0
71260 silly linkStuff path-exists@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71261 verbose linkBins path-exists@1.0.0
71262 verbose linkMans path-exists@1.0.0
71263 silly build path-is-absolute@1.0.0
71264 info linkStuff path-is-absolute@1.0.0
71265 silly linkStuff path-is-absolute@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71266 verbose linkBins path-is-absolute@1.0.0
71267 verbose linkMans path-is-absolute@1.0.0
71268 silly build path-is-inside@1.0.1
71269 info linkStuff path-is-inside@1.0.1
71270 silly linkStuff path-is-inside@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71271 verbose linkBins path-is-inside@1.0.1
71272 verbose linkMans path-is-inside@1.0.1
71273 silly build is-path-inside@1.0.0
71274 info linkStuff is-path-inside@1.0.0
71275 silly linkStuff is-path-inside@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71276 verbose linkBins is-path-inside@1.0.0
71277 verbose linkMans is-path-inside@1.0.0
71278 silly build is-path-in-cwd@1.0.0
71279 info linkStuff is-path-in-cwd@1.0.0
71280 silly linkStuff is-path-in-cwd@1.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71281 verbose linkBins is-path-in-cwd@1.0.0
71282 verbose linkMans is-path-in-cwd@1.0.0
71283 silly build path-to-regexp@0.1.7
71284 info linkStuff path-to-regexp@0.1.7
71285 silly linkStuff path-to-regexp@0.1.7 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71286 verbose linkBins path-to-regexp@0.1.7
71287 verbose linkMans path-to-regexp@0.1.7
71288 silly build pbkdf2-compat@2.0.1
71289 info linkStuff pbkdf2-compat@2.0.1
71290 silly linkStuff pbkdf2-compat@2.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71291 verbose linkBins pbkdf2-compat@2.0.1
71292 verbose linkMans pbkdf2-compat@2.0.1
71293 silly build pify@2.3.0
71294 info linkStuff pify@2.3.0
71295 silly linkStuff pify@2.3.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71296 verbose linkBins pify@2.3.0
71297 verbose linkMans pify@2.3.0
71298 silly build pinkie@2.0.4
71299 info linkStuff pinkie@2.0.4
71300 silly linkStuff pinkie@2.0.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71301 verbose linkBins pinkie@2.0.4
71302 verbose linkMans pinkie@2.0.4
71303 silly build pinkie-promise@2.0.1
71304 info linkStuff pinkie-promise@2.0.1
71305 silly linkStuff pinkie-promise@2.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71306 verbose linkBins pinkie-promise@2.0.1
71307 verbose linkMans pinkie-promise@2.0.1
71308 silly build path-type@1.1.0
71309 info linkStuff path-type@1.1.0
71310 silly linkStuff path-type@1.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71311 verbose linkBins path-type@1.1.0
71312 verbose linkMans path-type@1.1.0
71313 silly build path-exists@2.1.0
71314 info linkStuff path-exists@2.1.0
71315 silly linkStuff path-exists@2.1.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules\find-up\node_modules as its parent node_modules
71316 verbose linkBins path-exists@2.1.0
71317 verbose linkMans path-exists@2.1.0
71318 silly build find-up@1.1.2
71319 info linkStuff find-up@1.1.2
71320 silly linkStuff find-up@1.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71321 verbose linkBins find-up@1.1.2
71322 verbose linkMans find-up@1.1.2
71323 silly build pluralize@1.2.1
71324 info linkStuff pluralize@1.2.1
71325 silly linkStuff pluralize@1.2.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71326 verbose linkBins pluralize@1.2.1
71327 verbose linkMans pluralize@1.2.1
71328 silly build postcss-message-helpers@2.0.0
71329 info linkStuff postcss-message-helpers@2.0.0
71330 silly linkStuff postcss-message-helpers@2.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71331 verbose linkBins postcss-message-helpers@2.0.0
71332 verbose linkMans postcss-message-helpers@2.0.0
71333 silly build postcss-value-parser@3.3.0
71334 info linkStuff postcss-value-parser@3.3.0
71335 silly linkStuff postcss-value-parser@3.3.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71336 verbose linkBins postcss-value-parser@3.3.0
71337 verbose linkMans postcss-value-parser@3.3.0
71338 silly build prelude-ls@1.1.2
71339 info linkStuff prelude-ls@1.1.2
71340 silly linkStuff prelude-ls@1.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71341 verbose linkBins prelude-ls@1.1.2
71342 verbose linkMans prelude-ls@1.1.2
71343 silly build prepend-http@1.0.4
71344 info linkStuff prepend-http@1.0.4
71345 silly linkStuff prepend-http@1.0.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71346 verbose linkBins prepend-http@1.0.4
71347 verbose linkMans prepend-http@1.0.4
71348 silly build preserve@0.2.0
71349 info linkStuff preserve@0.2.0
71350 silly linkStuff preserve@0.2.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71351 verbose linkBins preserve@0.2.0
71352 verbose linkMans preserve@0.2.0
71353 silly build private@0.1.6
71354 info linkStuff private@0.1.6
71355 silly linkStuff private@0.1.6 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71356 verbose linkBins private@0.1.6
71357 verbose linkMans private@0.1.6
71358 silly build process@0.11.8
71359 info linkStuff process@0.11.8
71360 silly linkStuff process@0.11.8 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71361 verbose linkBins process@0.11.8
71362 verbose linkMans process@0.11.8
71363 silly build process-nextick-args@1.0.7
71364 info linkStuff process-nextick-args@1.0.7
71365 silly linkStuff process-nextick-args@1.0.7 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71366 verbose linkBins process-nextick-args@1.0.7
71367 verbose linkMans process-nextick-args@1.0.7
71368 silly build progress@1.1.8
71369 info linkStuff progress@1.1.8
71370 silly linkStuff progress@1.1.8 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71371 verbose linkBins progress@1.1.8
71372 verbose linkMans progress@1.1.8
71373 silly build promise@7.1.1
71374 info linkStuff promise@7.1.1
71375 silly linkStuff promise@7.1.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71376 verbose linkBins promise@7.1.1
71377 verbose linkMans promise@7.1.1
71378 silly build protocols@1.4.1
71379 info linkStuff protocols@1.4.1
71380 silly linkStuff protocols@1.4.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71381 verbose linkBins protocols@1.4.1
71382 verbose linkMans protocols@1.4.1
71383 silly build is-ssh@1.3.0
71384 info linkStuff is-ssh@1.3.0
71385 silly linkStuff is-ssh@1.3.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71386 verbose linkBins is-ssh@1.3.0
71387 verbose linkMans is-ssh@1.3.0
71388 silly build parse-url@1.3.3
71389 info linkStuff parse-url@1.3.3
71390 silly linkStuff parse-url@1.3.3 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71391 verbose linkBins parse-url@1.3.3
71392 verbose linkMans parse-url@1.3.3
71393 silly build git-up@2.0.2
71394 info linkStuff git-up@2.0.2
71395 silly linkStuff git-up@2.0.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71396 verbose linkBins git-up@2.0.2
71397 verbose linkMans git-up@2.0.2
71398 silly build git-url-parse@6.0.5
71399 info linkStuff git-url-parse@6.0.5
71400 silly linkStuff git-url-parse@6.0.5 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71401 verbose linkBins git-url-parse@6.0.5
71402 verbose linkMans git-url-parse@6.0.5
71403 silly build proxy-addr@1.1.2
71404 info linkStuff proxy-addr@1.1.2
71405 silly linkStuff proxy-addr@1.1.2 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71406 verbose linkBins proxy-addr@1.1.2
71407 verbose linkMans proxy-addr@1.1.2
71408 silly build prr@0.0.0
71409 info linkStuff prr@0.0.0
71410 silly linkStuff prr@0.0.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71411 verbose linkBins prr@0.0.0
71412 verbose linkMans prr@0.0.0
71413 silly build errno@0.1.4
71414 info linkStuff errno@0.1.4
71415 silly linkStuff errno@0.1.4 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71416 verbose linkBins errno@0.1.4
71417 verbose link bins [ { errno: './cli.js' },
71417 verbose link bins   'C:\\Users\\tgawron\\Desktop\\NodeJSPortable\\myWorkspace\\rook01093ReactStorybookAddon\\node_modules\\.bin',
71417 verbose link bins   false ]
71418 verbose linkMans errno@0.1.4
71419 silly build punycode@1.4.1
71420 info linkStuff punycode@1.4.1
71421 silly linkStuff punycode@1.4.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71422 verbose linkBins punycode@1.4.1
71423 verbose linkMans punycode@1.4.1
71424 silly build q@1.4.1
71425 info linkStuff q@1.4.1
71426 silly linkStuff q@1.4.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71427 verbose linkBins q@1.4.1
71428 verbose linkMans q@1.4.1
71429 silly build coa@1.0.1
71430 info linkStuff coa@1.0.1
71431 silly linkStuff coa@1.0.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71432 verbose linkBins coa@1.0.1
71433 verbose linkMans coa@1.0.1
71434 silly build qs@6.2.1
71435 info linkStuff qs@6.2.1
71436 silly linkStuff qs@6.2.1 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71437 verbose linkBins qs@6.2.1
71438 verbose linkMans qs@6.2.1
71439 silly build querystring@0.2.0
71440 info linkStuff querystring@0.2.0
71441 silly linkStuff querystring@0.2.0 has C:\Users\tgawron\Desktop\NodeJSPortable\myWorkspace\rook01093ReactStorybookAddon\node_modules as its parent node_modules
71442 verbose linkBins querystring@0.2.0
